task_id,formula,formation_energy_per_atom,e_above_hull,band_gap
mp-1018731,HoSI,-2.041810956,0,2.7208
mp-1096932,Cu2GeI6,0.483744621,0.712673359,0
mp-1178538,BaCaI4,-1.670684613,0.051858214,3.2684
mp-28070,Rb2TeI6,-0.771283367,0,1.6459
mp-614013,CsSnI3,-0.949544822,0.006791635,0.4649
mp-676561,Ag3SI,-0.216878113,0.063804738,0.3466
mp-772080,BaLaI5,-1.580922696,0.077346369,2.5826
mp-1207919,UGeI6,-0.589535621,0.060796448,0
mp-30216,K2ReI6,-0.648363424,0.045117636,0.8526
mp-541817,NbSeI3,-0.530193441,0,0.6281
mp-567614,Tb2Co2I,-0.603426946,0,0
mp-570339,Tl4CdI6,-0.643132157,0.014299847,2.1721
mp-676464,Cd3AsI3,-0.448894129,0,0.8399
mp-766310,BaCa2I6,-1.642749263,0.05418931,3.6691
mp-772861,BaSr2I6,-1.710803718,0.031986727,3.2767
mp-28470,Ta7(Te12I5)2,-0.304165123,0.00206838,0
mp-571432,La5C2I9,-1.34412275,0,1.5029
mp-616378,CsSnI3,-0.953411815,0.002924642,0.5537
mp-686119,Ag13(BiI4)14,-0.374359862,0.04066367,0
mp-1104961,Bi8Pt5I3,-0.287319614,0.028424673,0
mp-1205726,Y2Co2I,-0.588533199,0,0
mp-29519,KAuI4,-0.553428388,0.00054357,0.3003
mp-567727,Pr2Co2I,-0.56053861,0,0
mp-1209562,Rb2PrI5,-1.490117757,0,3.0842
mp-752397,Ba2SrI6,-1.747369776,0.023703238,3.7685
mp-1211504,KPbI3,-0.988667559,0.013939227,2.4462
mp-1225760,Dy2CI3,-1.160490977,0,0.3607
mp-1226477,Co5Sb15I,-0.131488791,0.063555371,0
mp-1226891,Cd3PI3,-0.438997205,0,1.2931
mp-568627,Rb4TmI6,-1.338973861,0.07005661,0
mp-570597,La2GeI2,-1.300725366,0,0.3777
mp-850305,SrCaI4,-1.591197052,0.090414512,3.713
mp-568666,RbAuI3,-0.67638656,0,0.7082
mp-675122,Na2UI6,-0.958986902,0.085390158,0
mp-1093748,Rb2AuI,-0.469588323,0.403187432,3.1851
mp-768570,Sr2CaI6,-1.605827039,0.086749962,3.3417
mp-23007,SbSI,-0.269164648,0.268211676,0.6906
mp-27552,TlPbI3,-0.666359175,0.011416749,2.1699
mp-685999,Ag4SI,0.027049343,0.260951719,0
mp-1184020,CsLi3I4,-1.302854596,0.011037758,3.765
mp-1197111,Bi20(PtI12)3,-0.423404687,0.005526514,1.1327
mp-28277,K2PrI5,-1.48105501,0,3.0315
mp-1206188,CaTlI3,-1.24390494,0.016095627,3.3432
mp-27528,Cd4As2I3,-0.364704452,0.006281845,1.1726
mp-28835,LiScI3,-1.121873027,0.047814245,0
mp-30189,K5(DyI4)3,-1.367358973,0.020479683,0
mp-766343,Ba2CaI6,-1.710593579,0.0375535,3.6188
mp-851110,Ba9La5I33,-1.66249267,0.031798485,2.0466
mp-28736,Pr4RuI5,-1.106749428,0,0.0004
mp-766288,Ba2CaI6,-1.712957728,0.035189351,3.4924
mp-754852,BaSrI4,-1.735120323,0.021811406,3.3749
mp-766287,BaCa2I6,-1.597510428,0.099428145,3.0889
mp-1205862,RbSrI3,-1.638900078,0,3.7457
mp-1207611,YSI,-1.688095464,0.327033632,1.2717
mp-28862,Y6RuI10,-1.215905102,0,0
mp-29403,GaCuI4,-0.414059255,0,1.7081
mp-30223,La2Fe2I,-0.49909534,0,0
mp-1214087,Ca3AsI3,-1.52995379,0,1.9918
mp-37163,Ag2HgI4,-0.201058762,0.101771649,0.0917
mp-776463,Ba3(YI6)2,-1.555244439,0.075121647,2.6277
mp-1208807,Sr3SbI3,-1.530385148,0,1.6765
mp-570039,La12Fe2I17,-1.219582644,0,0
mp-570360,RbNd2I5,-1.219814123,0.13710136,0
mp-754212,BaSr2I6,-1.728488069,0.014302376,3.9768
mp-570723,La5Si5I3,-1.032244023,0,0
mp-753460,BaCa2I6,-1.647189028,0.049749546,3.8794
mp-754710,Sr2CaI6,-1.651914446,0.040662555,3.6671
mp-1101345,SrCaI4,-1.593354813,0.088256751,2.8195
mp-1206751,DySeI,1.323708979,2.969862496,0.0658
mp-1211886,K2NdI5,-1.474560658,0,3.0195
mp-23514,BiSI,-0.62362074,0.002827083,1.8596
mp-768426,Ba2YI7,-1.583131592,0.072582919,2.638
mp-23410,Nb3Se12I,-0.563129558,0,0.0742
mp-27375,Tl4HgI6,-0.557300566,0.02437403,1.1909
mp-30220,Ba3P3I2,-1.268961265,0.002310575,0
mp-567775,La10C4I15,-1.29151142,0,0
mp-772022,Sr2LaI7,-1.570629318,0.079057079,2.6012
mp-772219,BaLaI5,-1.578036624,0.080232441,2.5999
mp-541158,Nb3SI7,-0.68478074,0,0.5544
mp-638650,Pr7FeI12,-1.223372848,0.001499057,0
mp-640578,KTiI3,-0.975497438,0.051308427,0
mp-1192748,Cs3Nb2I9,-0.956359895,0,0.4359
mp-1217385,Te7As5I,-0.026620961,0.011281199,0.5363
mp-28247,K2PtI6,-0.759802929,0,0.866
mp-771568,SrCa2I6,-1.580309968,0.089341098,3.7062
mp-29043,Hg4Sb2I3,-0.185199768,0,0.7152
mp-766349,BaCaI4,-1.654073711,0.068469115,3.3672
mp-1195034,Rb3Bi2I9,-0.92282981,0.004953477,2.2495
