,task_id,formula,formation_energy_per_atom,e_above_hull,band_gap,has_bandstructure
38846,mp-685100,Cu14I19,-0.0703145633333333,0.0622145466666665,0.0,False
38948,mp-865605,YBr3,-1.8596857875,0.0612137387500002,2.9452000000000003,True
39318,mp-22915,AgI,0.102681986666667,0.3872187250000003,0.0,True
39326,mp-27962,CI4,0.5334171962499997,0.5334171962500003,1.1002999999999998,True
39811,mp-28601,NbBr5,-0.8764778785416668,0.0,1.5583,True
39861,mp-571065,TiBr3,-1.2264060804166663,0.0018399074999999,0.0,False
40287,mp-22917,CuBr,-0.2518540474999997,0.0021873024999998,0.9949,True
40317,mp-28320,Pt3I8,-0.1611317238636357,0.0,0.8003999999999998,True
40582,mp-1184529,EuBr3,-1.2799316337499995,0.2832860425000003,0.0,False
41289,mp-567567,CdI2,-0.5913148609259259,0.0008221376296297,2.3734,True
41293,mp-569059,HfI4,-0.916851353,0.0,2.3223,True
41295,mp-569611,CdI2,-0.5915160904901959,0.0006209080653596,2.38,True
41457,mp-864657,HoI3,-1.3649403399999995,0.0,2.2173,True
41640,mp-1183444,CaBr,-1.2900613924999995,0.2494122912499996,0.0,False
41861,mp-567809,AgI,-0.2600564958333331,0.0244802425000001,1.596,True
41883,mp-673245,CuI,-0.1468123837499999,0.00938263875,1.1452,False
41893,mp-685011,Te8I3,0.1349936772727269,0.1836033877272731,0.0,False
42319,mp-27679,LaBr,-1.27551180875,0.0948969312499992,0.0,True
42382,mp-570089,CdI2,-0.5920225494444442,0.0001144491111113,2.4122000000000003,True
42395,mp-647343,PBr7,-0.2563837283928572,0.0,1.2227,True
42553,mp-1104734,TeBr6,-0.0970632364285715,0.1815510878571427,0.0040999999999999,False
42583,mp-1183572,CaI,-1.0042362275,0.2300613237500002,0.0,False
43593,mp-1187178,SrI2,-1.7022488450000004,0.0122590308333334,3.8104,False
43742,mp-27708,BiI,-0.2949415200000001,0.0270703608333335,0.9435000000000002,True
43743,mp-27709,Bi6Br7,-0.4944112950961535,0.0620167251602565,1.4109000000000005,True
43842,mp-685158,Cu16I19,-0.1277802194285714,0.0150266582857145,0.0,False
43978,mp-976867,Pm3I,-0.1139587931249996,0.3554769962500002,0.0,True
44109,mp-1184756,IrI,0.9491403925000004,1.0470851241666663,0.0,False
44326,mp-571246,GeBr4,-0.6375421314999999,0.0,2.9647,True
44672,mp-1187019,Se3Br,0.2829893885546877,0.3307966720996096,0.0,False
44795,mp-23225,BBr3,-0.5306924866666667,0.0,3.8285,True
45357,mp-541053,SiI2,-0.3063280504999999,0.0259705500555558,2.2973,True
45769,mp-28483,WBr6,-0.4798800257142857,0.0,1.0698,True
45885,mp-680760,In4Br7,-0.7722074516666666,0.009255792670455,2.2927,True
46750,mp-32684,HBr,-0.3061891668099998,0.0216794375,4.4860000000000015,True
47452,mp-862601,RhI2,-0.1072061516666664,0.1480060494444441,0.0,True
47582,mp-1183475,CaBr,-1.24708234,0.2923913437499994,0.0,False
47660,mp-1207060,TiI2,-0.6089752522222222,0.1067122087037031,0.0,False
47812,mp-27655,Te2I,-0.0594118683333334,0.0,0.6558000000000002,True
47856,mp-574663,CdI2,-0.5856110766666666,0.0065259218888891,2.4290000000000003,True
47990,mp-979116,Th3Br,0.0595574499999997,0.6065844825000006,0.0,False
48779,mp-27648,Te2Br,-0.1694953479166668,0.0,0.6704999999999997,True
48782,mp-27978,PuI3,-1.078602261718749,0.0,0.0,True
48786,mp-28384,GaBr2,-0.7805595141666668,0.0,3.1591,False
48787,mp-28572,LaBr2,-1.8246722175,0.0025394358333334,0.5882999999999998,True
48884,mp-570738,GaI2,-0.476039868611111,0.0,2.3838,True
48991,mp-984727,Ce3Br,-0.2153342824999996,0.4149850287500003,0.0,False
49022,mp-1059765,CoBr,0.6946968050000004,0.9119512200000006,0.0,False
49278,mp-567537,TaI4,-0.4575100259999999,0.0057925459687497,0.5465,True
49660,mp-1205810,EuBr3,-1.56321767625,0.0,0.0,False
49786,mp-30139,BeBr2,-1.051064305,0.0,5.1775,True
49835,mp-571569,CdI2,-0.5911026412962962,0.0010343572592592,2.3792,True
49853,mp-651332,SeBr4,-0.1529833073437498,0.0,2.2103,True
49968,mp-971787,VBr2,-0.8511131566666664,0.0,1.0943,True
50477,mp-972742,SmBr,-1.1497154662499995,0.1180535000000002,0.0,True
50815,mp-29412,Ta3Br7,-0.8987284444999993,0.0,1.2286,True
50865,mp-570935,LiI,-1.2357075099999997,0.0,4.3818,True
50882,mp-652621,In5Br7,-0.7355976721180557,0.0064738104166663,2.0735,False
51364,mp-567503,PbI2,-0.6752789183333334,7.674499999987816e-05,2.4493,True
51381,mp-571646,CdI2,-0.5912781447222221,0.0008588538333333,2.3721,True
51383,mp-573588,CdI2,-0.5847912050000001,0.0073457935555554,2.3761,True
51409,mp-680112,CdI2,-0.5904474125757575,0.001689585979798,2.3482,True
51622,mp-1203591,TcI4,-0.0884655697500001,0.0,0.1715999999999997,False
51723,mp-22888,CaBr2,-2.052631578333333,0.0,4.5304,True
51724,mp-23263,LaBr3,-2.030504219375,0.0,2.9251000000000005,True
51790,mp-568245,NbBr5,-0.8741782800000001,0.0022995985416667,1.5990000000000002,False
52823,mp-28301,OsBr4,-0.1168465265000002,0.0,0.0,False
52860,mp-567542,PbI2,-0.6735205458333334,0.0018351175000002,2.3844000000000003,True
53145,mp-1208561,ThBr2,-0.2644883100000002,1.1942504433333334,0.629,False
53321,mp-23173,HgI2,-0.2937704599999999,0.0219528860416666,2.3222,True
53371,mp-571122,FeI2,-0.1003814500000004,0.0,0.0,False
53372,mp-571279,ZrI2,-0.8949850566666674,0.0001931358333324,0.2751000000000001,True
53373,mp-571539,CdI2,-0.5911171908333334,0.0010198077222223,2.3766,True
53375,mp-582042,CdI2,-0.5921369985555556,0.0,2.4223,True
53386,mp-680111,CdI2,-0.5903879516666667,0.0017490468888889,2.3813,True
53576,mp-1183272,Ag3Br,0.0777632862500001,0.2643064629166667,0.0,False
53841,mp-568536,BaI2,-1.7936902766666665,0.0056653070833334,3.0499,True
53964,mp-865353,TmI3,-1.33975929625,0.0,2.2546,True
54258,mp-30282,La2I5,-1.51266859,0.0,0.1781000000000006,True
54345,mp-570722,NbI3,-0.4569307987499998,0.0403054854687496,0.0,True
54393,mp-680146,CdI2,-0.5905134516666666,0.0016235468888889,2.3508,True
54824,mp-680047,CdI2,-0.5907116978571432,0.0014253006984126,2.3548,True
55277,mp-22875,TlBr,-0.8403996949999999,0.04515781,2.0754,True
55278,mp-23160,ThBr4,-1.7423273949999998,0.0081591090000001,2.9284,True
55340,mp-571037,CdI2,-0.5910439635714287,0.0010930349841269,2.3741000000000003,True
55343,mp-581941,SmI2,-1.1310363212499996,0.112530121527778,0.0,True
55869,mp-570081,CuI,-0.1553900624999999,0.0008049599999999,1.6333999999999995,True
56289,mp-22898,KI,-1.493483469,0.0,3.8513,True
56291,mp-23317,AsBr3,-0.46816168875,0.0,3.1283,True
56303,mp-27976,SmBr3,-1.901653449375,0.0,2.9285,True
56357,mp-571578,CdI2,-0.5912121333333331,0.0009248652222224,2.3723,True
56500,mp-1007922,CuI,-0.0924266774999997,0.0637683450000001,0.9455999999999998,True
56648,mp-1214795,BiI5,-0.1818160424999998,0.1401958383333332,0.0464,False
56761,mp-23165,PtBr3,-0.2610280977083328,0.0,0.9388,True
56972,mp-861727,PuBr2,-1.4121373439583331,0.0,0.0,False
57300,mp-567624,CrBr2,-0.6474622866666664,0.0714484870370366,0.0,False
57340,mp-655360,UI4,-0.8347870049999997,0.0,0.2599999999999998,True
57601,mp-1183849,CeI3,-1.3399486187499998,0.0361086112499999,0.0533999999999998,False
57748,mp-23259,LiBr,-1.54784428,0.0254924700000001,4.9246,True
57968,mp-974332,S3Br,0.1272769844531249,0.3161970548437498,0.0,True
58333,mp-28248,CdI2,-0.5914005616666668,0.0007364368888889,2.3828,True
58513,mp-1066783,ZrBr,-0.940401285,0.0677753325000001,0.0,False
58537,mp-1104603,Ce2Br5,-1.8009123178571431,0.0,0.0,False
